,Rk,Player,Tm,Age,Pos,G,GS,Rec,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Year,Tgt,Ctch%
27,7,Michael Irvin,DAL,26,WR,16,14,78,1396,17.9,7,87,11.4,4.9,87.3,1,1992,122.0,63.9%
28,3,Michael Irvin,DAL,27,WR,16,16,88,1330,15.1,7,61,9.3,5.5,83.1,0,1993,143.0,61.5%
29,13,Michael Irvin,DAL,28,WR,16,16,79,1241,15.7,6,65,10.3,4.9,77.6,0,1994,121.0,65.3%
30,5,Michael Irvin,DAL,29,WR,16,16,111,1603,14.4,10,50,9.7,6.9,100.2,1,1995,165.0,67.3%
31,28,Michael Irvin,DAL,30,WR,11,11,64,962,15.0,2,61,9.2,5.8,87.5,1,1996,105.0,61.0%
32,12,Michael Irvin,DAL,31,WR,16,16,75,1180,15.7,9,55,7.5,4.7,73.8,0,1997,157.0,47.8%
33,14,Michael Irvin,DAL,32,WR,16,15,74,1057,14.3,1,51,8.3,4.6,66.1,1,1998,128.0,57.8%
34,8,Mike Pritchard,ATL,23,WR,16,15,77,827,10.7,5,38,7.1,4.8,51.7,3,1992,116.0,66.4%
35,14,Mike Pritchard,ATL,24,WR,15,14,74,736,9.9,7,34,7.2,4.9,49.1,1,1993,102.0,72.5%
36,27,Mike Pritchard,SEA,28,WR,16,15,64,843,13.2,2,61,7.3,4.0,52.7,2,1997,115.0,55.7%
37,42,Mike Pritchard,SEA,29,WR,16,16,58,742,12.8,3,50,7.3,3.6,46.4,1,1998,101.0,57.4%
38,10,Anthony Miller,SDG,27,WR,16,16,72,1060,14.7,7,67,7.7,4.5,66.3,0,1992,137.0,52.6%
39,7,Anthony Miller,SDG,28,WR,16,16,84,1162,13.8,7,66,7.2,5.3,72.6,0,1993,162.0,51.9%
40,32,Anthony Miller,DEN,29,WR,16,15,60,1107,18.5,5,76,9.4,3.8,69.2,0,1994,118.0,50.8%
41,45,Anthony Miller,DEN,30,WR,14,14,59,1079,18.3,14,62,10.0,4.2,77.1,1,1995,108.0,54.6%
42,43,Anthony Miller,DEN,31,WR,16,16,56,735,13.1,3,46,6.7,3.5,45.9,0,1996,110.0,50.9%
43,59,Anthony Miller,DAL,32,WR,16,16,46,645,14.0,4,54,6.6,2.9,40.3,1,1997,98.0,46.9%
44,66,Anthony Miller,CHI,25,WR,16,7,52,656,12.6,2,35,7.7,3.3,41.0,1,2019,85.0,61.2%
45,11,Brett Perriman,DET,27,WR,16,16,69,810,11.7,4,40,7.6,4.3,50.6,1,1992,107.0,64.5%
46,42,Brett Perriman,DET,29,WR,16,14,56,761,13.6,4,39,6.9,3.5,47.6,1,1994,110.0,50.9%
47,6,Brett Perriman,DET,30,WR,16,16,108,1488,13.8,9,91,8.3,6.8,93.0,1,1995,179.0,60.3%
48,6,Brett Perriman,DET,31,WR,16,16,94,1021,10.9,5,44,6.0,5.9,63.8,0,1996,170.0,55.3%
49,12,Eric Martin,NOR,31,WR,16,11,68,1041,15.3,5,52,10.4,4.3,65.1,1,1992,100.0,68.0%
50,23,Eric Martin,NOR,32,WR,16,13,66,950,14.4,3,54,8.5,4.1,59.4,0,1993,112.0,58.9%
51,13,Jay Novacek,DAL,30,TE,16,16,68,630,9.3,6,34,6.4,4.3,39.4,0,1992,99.0,68.7%
52,37,Jay Novacek,DAL,33,TE,15,15,62,705,11.4,5,33,7.8,4.1,47.0,1,1995,90.0,68.9%
53,14,Fred Barnett,PHI,26,WR,16,16,67,1083,16.2,6,71,9.2,4.2,67.7,1,1992,118.0,56.8%
54,14,Fred Barnett,PHI,28,WR,16,16,78,1127,14.4,5,54,7.6,4.9,70.4,1,1994,148.0,52.7%
55,64,Fred Barnett,PHI,29,WR,14,14,48,585,12.2,5,33,7.7,3.4,41.8,0,1995,76.0,63.2%
56,92,Fred Barnett,MIA,30,WR,9,7,36,562,15.6,3,66,8.9,4.0,62.4,1,1996,63.0,57.1%
57,15,Ernest Givins,HOU,28,WR,16,16,67,787,11.7,10,41,7.1,4.2,49.2,3,1992,111.0,60.4%
58,17,Ernest Givins,HOU,29,WR,16,16,68,887,13.0,4,80,8.1,4.3,55.4,2,1993,110.0,61.8%
59,103,Ernest Givins,HOU,30,WR,16,16,36,521,14.5,1,76,6.7,2.3,32.6,3,1994,78.0,46.2%
60,16,Reggie Langhorne,IND,29,WR,16,12,65,811,12.5,1,34,6.5,4.1,50.7,0,1992,124.0,52.4%
61,6,Reggie Langhorne,IND,30,WR,16,16,85,1038,12.2,3,72,6.8,5.3,64.9,4,1993,152.0,55.9%
62,17,Andre Reed,BUF,28,WR,16,16,65,913,14.0,3,51,8.8,4.1,57.1,4,1992,104.0,62.5%
63,51,Andre Reed,BUF,29,WR,15,15,52,854,16.4,6,65,9.8,3.5,56.9,3,1993,87.0,59.8%
