,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,Year
723,38,Charlie Garner,PHI,23,,15,3,108,588,6,55,5.4,39.2,2,1995
724,42,Charlie Garner,PHI,25,,16,2,116,547,3,26,4.7,34.2,1,1997
725,19,Charlie Garner,SFO,27,RB,16,15,241,1229,4,53,5.1,76.8,4,1999
726,18,Charlie Garner,SFO,28,RB,16,15,258,1142,7,42,4.4,71.4,4,2000
727,22,Charlie Garner,OAK,29,RB,16,16,211,839,1,38,4.0,52.4,2,2001
728,33,Charlie Garner,OAK,30,RB,16,15,182,962,7,36,5.3,60.1,0,2002
729,39,Charlie Garner,OAK,31,RB,14,9,120,553,3,33,4.6,39.5,1,2003
730,41,Robert Green,CHI,25,,12,3,107,570,3,38,5.3,47.5,2,1995
731,4,Eddie George,HOU,23,RB,16,16,335,1368,8,76,4.1,85.5,3,1996
732,3,Eddie George,TEN,24,RB,16,16,357,1399,6,30,3.9,87.4,4,1997
733,4,Eddie George,TEN,25,RB,16,16,348,1294,5,37,3.7,80.9,7,1998
734,6,Eddie George,TEN,26,RB,16,16,320,1304,9,40,4.1,81.5,5,1999
735,1,Eddie George,TEN,27,RB,16,16,403,1509,14,35,3.7,94.3,5,2000
736,6,Eddie George,TEN,28,RB,16,16,315,939,5,27,3.0,58.7,8,2001
737,3,Eddie George,TEN,29,RB,16,16,343,1165,12,35,3.4,72.8,1,2002
738,12,Eddie George,TEN,30,RB,16,16,312,1031,5,27,3.3,64.4,1,2003
739,8,Karim Abdul-Jabbar,MIA,22,RB,16,14,307,1116,11,29,3.6,69.8,4,1996
740,9,Karim Abdul-Jabbar,MIA,23,RB,16,14,283,892,15,22,3.2,55.8,3,1997
741,14,Karim Abdul-Jabbar,MIA,24,RB,15,15,270,960,6,45,3.6,64.0,2,1998
742,14,Jamal Anderson,ATL,24,RB,16,12,232,1055,5,32,4.5,65.9,4,1996
743,7,Jamal Anderson,ATL,25,RB,16,15,290,1002,7,39,3.5,62.6,4,1997
744,1,Jamal Anderson,ATL,26,RB,16,16,410,1846,14,48,4.5,115.4,5,1998
745,15,Jamal Anderson,ATL,28,RB,16,16,282,1024,6,42,3.6,64.0,6,2000
746,21,Raymont Harris,CHI,26,RB,12,10,194,748,4,23,3.9,62.3,3,1996
747,10,Raymont Harris,CHI,27,RB,13,13,275,1033,10,68,3.8,79.5,1,1997
748,22,Lawrence Phillips,STL,21,RB,15,11,193,632,4,38,3.3,42.1,2,1996
749,23,Lawrence Phillips,2TM,22,,12,9,201,677,8,28,3.4,56.4,3,1997
750,30,Lamar Smith,SEA,26,rb,16,2,153,680,8,29,4.4,42.5,4,1996
751,9,Lamar Smith,MIA,30,RB,15,15,309,1139,14,68,3.7,75.9,3,2000
752,7,Lamar Smith,MIA,31,RB,16,16,313,968,6,25,3.1,60.5,6,2001
753,26,Lamar Smith,CAR,32,RB,11,11,209,737,7,59,3.5,67.0,2,2002
754,32,Napoleon Kaufman,OAK,23,RB,16,9,150,874,1,77,5.8,54.6,3,1996
755,12,Napoleon Kaufman,OAK,24,RB,16,16,272,1294,6,83,4.8,80.9,7,1997
756,22,Napoleon Kaufman,OAK,25,RB,13,13,217,921,2,80,4.2,70.8,2,1998
757,34,Napoleon Kaufman,OAK,26,rb,16,5,138,714,2,75,5.2,44.6,3,1999
758,34,LeShon Johnson,ARI,25,RB,15,8,141,634,3,70,4.5,42.3,5,1996
759,36,Terry Kirby,SFO,26,RB,14,10,134,559,3,31,4.2,39.9,1,1996
760,39,Dorsey Levens,GNB,26,,16,1,121,566,5,24,4.7,35.4,2,1996
761,5,Dorsey Levens,GNB,27,RB,16,16,329,1435,7,52,4.4,89.7,5,1997
762,10,Dorsey Levens,GNB,29,RB,14,14,279,1034,9,36,3.7,73.9,5,1999
763,18,Corey Dillon,CIN,23,RB,16,6,233,1129,10,75,4.8,70.6,1,1997
764,16,Corey Dillon,CIN,24,RB,15,15,262,1130,4,66,4.3,75.3,2,1998
765,12,Corey Dillon,CIN,25,RB,15,15,263,1200,5,50,4.6,80.0,3,1999
766,7,Corey Dillon,CIN,26,RB,16,16,315,1435,7,80,4.6,89.7,4,2000
767,2,Corey Dillon,CIN,27,RB,16,16,340,1315,10,96,3.9,82.2,5,2001
